query,rank,score,title,s3_path,summary,keywords,theme,theme_conf
Adverse events with mRNA vaccines in pediatrics,1,0.2589,PAX2 and CAKUT Phenotypes: Report on Two New Variants and a Review of Mutations from the Leiden Open Variation Database,s3://pmc-oa-opendata/oa_comm/txt/all/PMC9962628.txt,PAX2 and CAKUT Phenotypes: Report on Two New Variants and a Review of Mutations from the Leiden Open Variation Database . Int J Mol Sci. ijms 1422-0067 MDPI 36835576 10.3390/ijms24044165 .,"padua, padua italy, italy, ijms, 2023 2023, 35127 padua",Clinical Trial,0.5224
Adverse events with mRNA vaccines in pediatrics,2,0.2435,A novel assay based on DNA melting temperature for multiplexed identification of SARS-CoV-2 and influenza A/B viruses,s3://pmc-oa-opendata/oa_comm/txt/all/PMC10762780.txt,A novel assay based on DNA melting temperature for multiplexed identification of SARS-CoV-2 and influenza A/B viruses . Front. Microbiol. 1664-302X 10.3389/302X .,"china, beijing, beijing china, hospital, friendship, japan friendship",Clinical Trial,0.6494
Adverse events with mRNA vaccines in pediatrics,3,0.2345,Possible manufacture of test allergens in public pharmacies for the diagnosis of type I allergies: Legal aspects,s3://pmc-oa-opendata/oa_comm/txt/all/PMC11270336.txt,"Possible manufacture of test allergens in public pharmacies for the diagnosis of type I allergies: Legal aspects Paulus-Tremel Kathrin E. 1* Dörje Frank 5 Schülke Stefan 1 1 Allergology Division, Paul-Ehrlich-Institut (PEI), Langen (Hesse), 2 Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU), 3 Institute for Prevention and Occupational Medicine of the German Social Accident Insurance .","erlangen, bundeswehr, department, universität, public, institute",Clinical Trial,0.5009
Adverse events with mRNA vaccines in pediatrics,4,0.2287,"2 Medical Faculty, 9171 Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU) , Erlangen, Germany",s3://pmc-oa-opendata/oa_comm/txt/all/PMC9760518.txt,"The development of children is strongly affected by their parent’s emotional state . A structured survey was set up and distributed randomly via social media and parent associations . Risk factors were parental education levels, parental working time, and teaching features like the frequency of feedback, correction, and accessibility .","parental, closures, erlangen, germany, stress, sage",Clinical Trial,0.3956
Adverse events with mRNA vaccines in pediatrics,5,0.2084,End-point diagnostics of Giardia duodenalis assemblages A and B by combining RPA with CRISPR/Cas12a from human fecal samples,s3://pmc-oa-opendata/oa_comm/txt/all/PMC11558988.txt,Parasites & Vectors 1756-3305 BioMed Central London 6559 10.1186/s13071-024-065590 Research End-point diagnostics of Giardia duodenalis assemblages A and B by combining RPA with CRISPR/Cas12a .,"duodenalis, duodenalis assemblages, end, end point, fecal, fecal samples",Clinical Trial,0.7117
Adverse events with mRNA vaccines in pediatrics,6,0.2027,Familial autoimmunity in patients with idiopathic inflammatory myopathies,s3://pmc-oa-opendata/oa_comm/txt/all/PMC10092836.txt,W. I. Che et al. Familial autoimmunity in patients with idiopathic inflammatory myopathies . J Intern Med J Med JOIM 0954-6820 1365-2796 .,"familial autoimmunity, intern, intern med, autoimmunity, med, joim",Clinical Trial,0.5509
Adverse events with mRNA vaccines in pediatrics,7,0.2016,"Stigma, Post-traumatic Stress, and COVID-19 Vaccination Intent in Mongolia, India, and the United States",s3://pmc-oa-opendata/oa_comm/txt/all/PMC9915119.txt,Sattler David N. Conceptualization Methodology Formal analysis Writing – original draft Writing – review & editing 1* Bishkhorloo Boldsuren Conceptualized Methodology Writing – Review & editing .,"writing, writing review, writing original, methodology, original, original draft",Traditional Methods,0.4852
Adverse events with mRNA vaccines in pediatrics,8,0.192,The authors declare no conflict of interest.,s3://pmc-oa-opendata/oa_comm/txt/all/PMC5386495.txt,"Granzymes are a family of homologous serine proteases involved in inducing apoptosis in virus-infected cells and tumor cells . In humans, five granzymes (GrA, GrB, GrH, GrK, and GrM) are expressed, and stored in granules of natural killer (NK) cells, NK-T cells, cytotoxic T cells, and γδ T cells .","cells, granzymes, target cell, perforin, cell, target",Traditional Methods,0.4805
Adverse events with mRNA vaccines in pediatrics,9,0.185,Identification of transmission foci of Schistosoma mansoni: narrowing the intervention target from district to transmission focus in Ethiopia,s3://pmc-oa-opendata/oa_comm/txt/all/PMC7245888.txt,Schistosoma mansoni infection is a significant public health problem in Ethiopia . The impact of the disease is particularly high on school-age children . Control and elimination interventions are underway using school-based annual mass drug administration (MDA),"mansoni, schistosoma mansoni, schistosoma, transmission, endemic districts, endemic",Clinical Trial,0.5824
Adverse events with mRNA vaccines in pediatrics,10,0.1815,Predictors of Mortality in COVID-19 Patients in Southern California – Retrospective Multicenter Study,s3://pmc-oa-opendata/oa_comm/txt/all/PMC8525677.txt,Pulmonology Predictors of Mortality in COVID-19 patients in Southern California – Retrospective Multicenter Study Adler John R . Umeh et al. U.meh and .,"hemet, cureus, global medical, usa, hemet global, hemet usa",Clinical Trial,0.802
